央视频道,#genre#
CCTV-11戏曲,https://live.goodiptv.club/api/cqyx.php?id=cctv11HD
CCTV-12社会与法,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226190/index.m3u8
CCTV-12社会与法,https://live.goodiptv.club/api/cqyx.php?id=cctv12HD
CCTV-13新闻,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226233/index.m3u8
CCTV-14少儿,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226193/index.m3u8
CCTV-14少儿,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226193/index.m3u8
CCTV-15音乐,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225785/index.m3u8
CCTV-15音乐,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225785/index.m3u8
CCTV-15音乐,https://live.goodiptv.club/api/cqyx.php?id=cctv15HD
CCTV-16奥林匹克,http://[2409:8087:2001:20:2800:0:df6e:eb18]/ott.mobaibox.com/PLTV/3/224/3221228127/index.m3u8
CCTV-16奥林匹克,https://live.goodiptv.club/api/cqyx.php?id=cctv16_4k
CCTV-16奥林匹克,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226921/index.m3u8
CCTV-16奥林匹克,http://120.196.232.124:8088/rrs03.hw.gmcc.net/PLTV/651/224/3221226825/1.m3u8?$8M1080
CCTV-16奥林匹克,https://live.goodiptv.club/api/cqyx.php?id=cctv16HD
CCTV-17农业农村,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226198/index.m3u8
CCTV-17农业农村,https://live.goodiptv.club/api/cqyx.php?id=cctv17HD
CCTV-4K超高清,https://live.goodiptv.club/api/cqyx.php?id=CCTV4K
CCTV-4K超高清,http://180.97.247.27:8088/liveplay-kk.rtxapp.com/live/program/live/cctv4k/15000000/mnf.m3u8
CCTV-8K超高清,http://[2409:8087:2001:20:2800:0:df6e:eb02]/ott.mobaibox.com/PLTV/3/224/3221228165/index.m3u8
CGTN,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225745/1.m3u8
CGTN,http://live.cgtn.com/1000/prog_index.m3u8
CGTN-纪录,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221227084/index.m3u8
CGTN-纪录,https://news.cgtn.com/resource/live/document/cgtn-doc.m3u8?zshijd
CGTN-西班牙语,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221227098/index.m3u8
CGTN-西班牙语,http://livees.cgtn.com/1000e/prog_index.m3u8?zshijd
CGTN-法语,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221227058/index.m3u8
CGTN-法语,https://news.cgtn.com/resource/live/french/cgtn-f.m3u8?zshijd
CGTN-阿拉伯语,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221227095/index.m3u8
CGTN-阿拉伯语,http://livear.cgtn.com/1000a/prog_index.m3u8?zshijd
CGTN-俄语,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221227078/index.m3u8
CGTN-俄语,http://liveru.cgtn.com/1000r/prog_index.m3u8?zshijd
CHC动作电影,http://111.20.40.170/PLTV/88888893/224/3221226465/index.m3u8
CHC动作电影,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226465/index.m3u8
CHC动作电影,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226465/1.m3u8
CHC高清电影,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226463/index.m3u8
CHC高清电影,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226463/1.m3u8
CHC家庭影院,http://111.20.40.170/PLTV/88888893/224/3221226462/index.m3u8
CHC家庭影院,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226462/index.m3u8
CHC家庭影院,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226462/1.m3u8
CETV1,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001020/index.m3u8?
CETV1,https://cntv.sbs/tv?auth=2310201855&id=cetv1
CETV1,http://111.40.196.27:443/0000000000001000/5000000002000002652/index.m3u8?livemode=1&stbId=10&channel-id=bestzb&Contentid=5000000002000002652
CETV2,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225756/index.m3u8
CETV3,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226226/index.m3u8
CETV4,http://[2409:8087:1e03:21::2]:6060/cms001/ch00000090990000001348/index.m3u8
CETV4,https://cntv.sbs/tv?auth=2310201855&id=cetv4
CETV4,http://111.40.196.27:443/0000000000001000/5000000011000031126/index.m3u8?livemode=1&stbId=10&channel-id=bestzb&Contentid=5000000011000031126
早期教育,https://live.goodiptv.club/api/cqyx.php?id=zaojiaoHD
